CP015625.1,BaApis_BBC0122.fna
NARX01000043.1,GiApicola_AW11.fna
NARX01000044.1,GiApicola_AW11.fna
NARX01000045.1,GiApicola_AW11.fna
NARX01000046.1,GiApicola_AW11.fna
NARX01000047.1,GiApicola_AW11.fna
NARX01000048.1,GiApicola_AW11.fna
NARX01000049.1,GiApicola_AW11.fna
NARX01000005.1,GiApicola_AW11.fna
NARX01000050.1,GiApicola_AW11.fna
NARX01000051.1,GiApicola_AW11.fna
NARX01000052.1,GiApicola_AW11.fna
NARX01000053.1,GiApicola_AW11.fna
NARX01000054.1,GiApicola_AW11.fna
NARX01000055.1,GiApicola_AW11.fna
NARX01000056.1,GiApicola_AW11.fna
NARX01000057.1,GiApicola_AW11.fna
NARX01000058.1,GiApicola_AW11.fna
NARX01000059.1,GiApicola_AW11.fna
NARX01000006.1,GiApicola_AW11.fna
NARX01000060.1,GiApicola_AW11.fna
NARX01000061.1,GiApicola_AW11.fna
NARX01000062.1,GiApicola_AW11.fna
NARX01000063.1,GiApicola_AW11.fna
NARX01000064.1,GiApicola_AW11.fna
NARX01000065.1,GiApicola_AW11.fna
NARX01000066.1,GiApicola_AW11.fna
NARX01000067.1,GiApicola_AW11.fna
NARX01000068.1,GiApicola_AW11.fna
NARX01000069.1,GiApicola_AW11.fna
NARX01000007.1,GiApicola_AW11.fna
NARX01000070.1,GiApicola_AW11.fna
NARX01000071.1,GiApicola_AW11.fna
NARX01000072.1,GiApicola_AW11.fna
NARX01000073.1,GiApicola_AW11.fna
NARX01000074.1,GiApicola_AW11.fna
NARX01000075.1,GiApicola_AW11.fna
NARX01000076.1,GiApicola_AW11.fna
NARX01000077.1,GiApicola_AW11.fna
NARX01000078.1,GiApicola_AW11.fna
NARX01000079.1,GiApicola_AW11.fna
NARX01000008.1,GiApicola_AW11.fna
NARX01000080.1,GiApicola_AW11.fna
NARX01000081.1,GiApicola_AW11.fna
NARX01000082.1,GiApicola_AW11.fna
NARX01000083.1,GiApicola_AW11.fna
NARX01000084.1,GiApicola_AW11.fna
NARX01000085.1,GiApicola_AW11.fna
NARX01000086.1,GiApicola_AW11.fna
NARX01000087.1,GiApicola_AW11.fna
NARX01000088.1,GiApicola_AW11.fna
NARX01000089.1,GiApicola_AW11.fna
NARX01000009.1,GiApicola_AW11.fna
NARX01000090.1,GiApicola_AW11.fna
NARX01000091.1,GiApicola_AW11.fna
NARX01000092.1,GiApicola_AW11.fna
NARX01000093.1,GiApicola_AW11.fna
NARX01000094.1,GiApicola_AW11.fna
NARX01000095.1,GiApicola_AW11.fna
NARX01000096.1,GiApicola_AW11.fna
NARX01000097.1,GiApicola_AW11.fna
NARX01000098.1,GiApicola_AW11.fna
NARX01000099.1,GiApicola_AW11.fna
NARU01000001.1,GiApicola_AW13.fna
NARU01000010.1,GiApicola_AW13.fna
NARU01000100.1,GiApicola_AW13.fna
NARU01000101.1,GiApicola_AW13.fna
NARU01000102.1,GiApicola_AW13.fna
NARU01000103.1,GiApicola_AW13.fna
NARU01000104.1,GiApicola_AW13.fna
NARU01000105.1,GiApicola_AW13.fna
NARU01000106.1,GiApicola_AW13.fna
NARU01000107.1,GiApicola_AW13.fna
NARU01000108.1,GiApicola_AW13.fna
NARU01000109.1,GiApicola_AW13.fna
NARU01000011.1,GiApicola_AW13.fna
NARU01000110.1,GiApicola_AW13.fna
NARU01000111.1,GiApicola_AW13.fna
NARU01000112.1,GiApicola_AW13.fna
NARU01000113.1,GiApicola_AW13.fna
NARU01000114.1,GiApicola_AW13.fna
NARU01000115.1,GiApicola_AW13.fna
NARU01000116.1,GiApicola_AW13.fna
NARU01000117.1,GiApicola_AW13.fna
NARU01000118.1,GiApicola_AW13.fna
NARU01000119.1,GiApicola_AW13.fna
NARU01000012.1,GiApicola_AW13.fna
NARU01000120.1,GiApicola_AW13.fna
NARU01000121.1,GiApicola_AW13.fna
NARU01000122.1,GiApicola_AW13.fna
NARU01000123.1,GiApicola_AW13.fna
NARU01000124.1,GiApicola_AW13.fna
NARU01000125.1,GiApicola_AW13.fna
NARU01000126.1,GiApicola_AW13.fna
NARU01000127.1,GiApicola_AW13.fna
NARU01000128.1,GiApicola_AW13.fna
NARU01000129.1,GiApicola_AW13.fna
NARU01000013.1,GiApicola_AW13.fna
NARU01000130.1,GiApicola_AW13.fna
NARU01000131.1,GiApicola_AW13.fna
NARU01000132.1,GiApicola_AW13.fna
NARU01000133.1,GiApicola_AW13.fna
NARU01000134.1,GiApicola_AW13.fna
NARU01000135.1,GiApicola_AW13.fna
NARU01000136.1,GiApicola_AW13.fna
NARU01000137.1,GiApicola_AW13.fna
NARU01000138.1,GiApicola_AW13.fna
NARU01000139.1,GiApicola_AW13.fna
NARU01000014.1,GiApicola_AW13.fna
NARU01000140.1,GiApicola_AW13.fna
NARU01000141.1,GiApicola_AW13.fna
NARU01000142.1,GiApicola_AW13.fna
NARU01000143.1,GiApicola_AW13.fna
NARU01000144.1,GiApicola_AW13.fna
NARU01000145.1,GiApicola_AW13.fna
NARU01000146.1,GiApicola_AW13.fna
NARU01000147.1,GiApicola_AW13.fna
NARU01000148.1,GiApicola_AW13.fna
NARU01000149.1,GiApicola_AW13.fna
NARU01000015.1,GiApicola_AW13.fna
NARU01000150.1,GiApicola_AW13.fna
NARU01000151.1,GiApicola_AW13.fna
NARU01000152.1,GiApicola_AW13.fna
NARU01000153.1,GiApicola_AW13.fna
NARU01000154.1,GiApicola_AW13.fna
NARU01000155.1,GiApicola_AW13.fna
NARU01000156.1,GiApicola_AW13.fna
NARU01000157.1,GiApicola_AW13.fna
NARU01000158.1,GiApicola_AW13.fna
NARU01000159.1,GiApicola_AW13.fna
NARU01000016.1,GiApicola_AW13.fna
NARU01000160.1,GiApicola_AW13.fna
NARU01000161.1,GiApicola_AW13.fna
NARU01000162.1,GiApicola_AW13.fna
NARU01000163.1,GiApicola_AW13.fna
NARU01000164.1,GiApicola_AW13.fna
NARU01000165.1,GiApicola_AW13.fna
NARU01000166.1,GiApicola_AW13.fna
NARU01000167.1,GiApicola_AW13.fna
NARU01000168.1,GiApicola_AW13.fna
NARU01000169.1,GiApicola_AW13.fna
NARU01000017.1,GiApicola_AW13.fna
NARU01000170.1,GiApicola_AW13.fna
NARU01000171.1,GiApicola_AW13.fna
NARU01000172.1,GiApicola_AW13.fna
NARU01000173.1,GiApicola_AW13.fna
NARU01000174.1,GiApicola_AW13.fna
NARU01000175.1,GiApicola_AW13.fna
NARU01000176.1,GiApicola_AW13.fna
NARU01000177.1,GiApicola_AW13.fna
NARU01000178.1,GiApicola_AW13.fna
NARU01000179.1,GiApicola_AW13.fna
NARU01000018.1,GiApicola_AW13.fna
NARU01000180.1,GiApicola_AW13.fna
NARU01000181.1,GiApicola_AW13.fna
NARU01000182.1,GiApicola_AW13.fna
NARU01000183.1,GiApicola_AW13.fna
NARU01000184.1,GiApicola_AW13.fna
NARU01000185.1,GiApicola_AW13.fna
NARU01000186.1,GiApicola_AW13.fna
NARU01000187.1,GiApicola_AW13.fna
NARU01000188.1,GiApicola_AW13.fna
NARU01000189.1,GiApicola_AW13.fna
NARU01000019.1,GiApicola_AW13.fna
NARU01000190.1,GiApicola_AW13.fna
NARU01000191.1,GiApicola_AW13.fna
NARU01000192.1,GiApicola_AW13.fna
NARU01000193.1,GiApicola_AW13.fna
NARU01000194.1,GiApicola_AW13.fna
NARU01000195.1,GiApicola_AW13.fna
NARU01000196.1,GiApicola_AW13.fna
NARU01000197.1,GiApicola_AW13.fna
NARU01000198.1,GiApicola_AW13.fna
NARU01000199.1,GiApicola_AW13.fna
NARU01000002.1,GiApicola_AW13.fna
NARU01000020.1,GiApicola_AW13.fna
NARU01000200.1,GiApicola_AW13.fna
NARU01000201.1,GiApicola_AW13.fna
NARU01000202.1,GiApicola_AW13.fna
NARU01000203.1,GiApicola_AW13.fna
NARU01000204.1,GiApicola_AW13.fna
NARU01000205.1,GiApicola_AW13.fna
NARU01000206.1,GiApicola_AW13.fna
NARU01000207.1,GiApicola_AW13.fna
NARU01000208.1,GiApicola_AW13.fna
NARU01000209.1,GiApicola_AW13.fna
NARU01000021.1,GiApicola_AW13.fna
NARU01000210.1,GiApicola_AW13.fna
NARU01000211.1,GiApicola_AW13.fna
NARU01000212.1,GiApicola_AW13.fna
NARU01000213.1,GiApicola_AW13.fna
NARU01000214.1,GiApicola_AW13.fna
NARU01000215.1,GiApicola_AW13.fna
NARU01000216.1,GiApicola_AW13.fna
NARU01000217.1,GiApicola_AW13.fna
NARU01000218.1,GiApicola_AW13.fna
NARU01000219.1,GiApicola_AW13.fna
NARU01000022.1,GiApicola_AW13.fna
NARU01000220.1,GiApicola_AW13.fna
NARU01000221.1,GiApicola_AW13.fna
NARU01000222.1,GiApicola_AW13.fna
NARU01000223.1,GiApicola_AW13.fna
NARU01000224.1,GiApicola_AW13.fna
NARU01000225.1,GiApicola_AW13.fna
NARU01000226.1,GiApicola_AW13.fna
NARU01000227.1,GiApicola_AW13.fna
NARU01000228.1,GiApicola_AW13.fna
NARU01000229.1,GiApicola_AW13.fna
NARU01000023.1,GiApicola_AW13.fna
NARU01000230.1,GiApicola_AW13.fna
NARU01000231.1,GiApicola_AW13.fna
NARU01000232.1,GiApicola_AW13.fna
NARU01000233.1,GiApicola_AW13.fna
NARU01000234.1,GiApicola_AW13.fna
NARU01000235.1,GiApicola_AW13.fna
NARU01000236.1,GiApicola_AW13.fna
NARU01000237.1,GiApicola_AW13.fna
NARU01000238.1,GiApicola_AW13.fna
NARU01000239.1,GiApicola_AW13.fna
NARU01000024.1,GiApicola_AW13.fna
NARU01000240.1,GiApicola_AW13.fna
NARU01000241.1,GiApicola_AW13.fna
NARU01000242.1,GiApicola_AW13.fna
NARU01000243.1,GiApicola_AW13.fna
NARU01000244.1,GiApicola_AW13.fna
NARU01000245.1,GiApicola_AW13.fna
NARU01000246.1,GiApicola_AW13.fna
NARU01000247.1,GiApicola_AW13.fna
NARU01000248.1,GiApicola_AW13.fna
NARU01000249.1,GiApicola_AW13.fna
NARU01000025.1,GiApicola_AW13.fna
NARU01000250.1,GiApicola_AW13.fna
NARU01000251.1,GiApicola_AW13.fna
NARU01000252.1,GiApicola_AW13.fna
NARU01000253.1,GiApicola_AW13.fna
NARU01000254.1,GiApicola_AW13.fna
NARU01000255.1,GiApicola_AW13.fna
NARU01000256.1,GiApicola_AW13.fna
NARU01000257.1,GiApicola_AW13.fna
NARU01000258.1,GiApicola_AW13.fna
NARU01000259.1,GiApicola_AW13.fna
NARU01000026.1,GiApicola_AW13.fna
NARU01000260.1,GiApicola_AW13.fna
NARU01000261.1,GiApicola_AW13.fna
NARU01000262.1,GiApicola_AW13.fna
NARU01000263.1,GiApicola_AW13.fna
NARU01000264.1,GiApicola_AW13.fna
NARU01000265.1,GiApicola_AW13.fna
NARU01000266.1,GiApicola_AW13.fna
NARU01000267.1,GiApicola_AW13.fna
NARU01000268.1,GiApicola_AW13.fna
NARU01000269.1,GiApicola_AW13.fna
NARU01000027.1,GiApicola_AW13.fna
NARU01000270.1,GiApicola_AW13.fna
NARU01000271.1,GiApicola_AW13.fna
NARU01000272.1,GiApicola_AW13.fna
NARU01000273.1,GiApicola_AW13.fna
NARU01000274.1,GiApicola_AW13.fna
NARU01000275.1,GiApicola_AW13.fna
NARU01000276.1,GiApicola_AW13.fna
NARU01000277.1,GiApicola_AW13.fna
NARU01000278.1,GiApicola_AW13.fna
NARU01000279.1,GiApicola_AW13.fna
NARU01000028.1,GiApicola_AW13.fna
NARU01000280.1,GiApicola_AW13.fna
NARU01000281.1,GiApicola_AW13.fna
NARU01000282.1,GiApicola_AW13.fna
NARU01000283.1,GiApicola_AW13.fna
NARU01000284.1,GiApicola_AW13.fna
NARU01000285.1,GiApicola_AW13.fna
NARU01000286.1,GiApicola_AW13.fna
NARU01000287.1,GiApicola_AW13.fna
NARU01000288.1,GiApicola_AW13.fna
NARU01000289.1,GiApicola_AW13.fna
NARU01000029.1,GiApicola_AW13.fna
NARU01000290.1,GiApicola_AW13.fna
NARU01000291.1,GiApicola_AW13.fna
NARU01000292.1,GiApicola_AW13.fna
NARU01000293.1,GiApicola_AW13.fna
NARU01000294.1,GiApicola_AW13.fna
NARU01000295.1,GiApicola_AW13.fna
NARU01000296.1,GiApicola_AW13.fna
NARU01000297.1,GiApicola_AW13.fna
NARU01000298.1,GiApicola_AW13.fna
NARU01000299.1,GiApicola_AW13.fna
NARU01000003.1,GiApicola_AW13.fna
NARU01000030.1,GiApicola_AW13.fna
NARU01000300.1,GiApicola_AW13.fna
NARU01000301.1,GiApicola_AW13.fna
NARU01000302.1,GiApicola_AW13.fna
NARU01000303.1,GiApicola_AW13.fna
NARU01000304.1,GiApicola_AW13.fna
NARU01000305.1,GiApicola_AW13.fna
NARU01000306.1,GiApicola_AW13.fna
NARU01000307.1,GiApicola_AW13.fna
NARU01000308.1,GiApicola_AW13.fna
NARU01000309.1,GiApicola_AW13.fna
NARU01000031.1,GiApicola_AW13.fna
NARU01000310.1,GiApicola_AW13.fna
NARU01000311.1,GiApicola_AW13.fna
NARU01000312.1,GiApicola_AW13.fna
NARU01000313.1,GiApicola_AW13.fna
NARU01000314.1,GiApicola_AW13.fna
NARU01000315.1,GiApicola_AW13.fna
NARU01000316.1,GiApicola_AW13.fna
NARU01000317.1,GiApicola_AW13.fna
NARU01000318.1,GiApicola_AW13.fna
NARU01000319.1,GiApicola_AW13.fna
NARU01000032.1,GiApicola_AW13.fna
NARU01000320.1,GiApicola_AW13.fna
NARU01000321.1,GiApicola_AW13.fna
NARU01000322.1,GiApicola_AW13.fna
NARU01000323.1,GiApicola_AW13.fna
NARU01000324.1,GiApicola_AW13.fna
NARU01000325.1,GiApicola_AW13.fna
NARU01000326.1,GiApicola_AW13.fna
NARU01000327.1,GiApicola_AW13.fna
NARU01000328.1,GiApicola_AW13.fna
NARU01000329.1,GiApicola_AW13.fna
NARU01000033.1,GiApicola_AW13.fna
NARU01000330.1,GiApicola_AW13.fna
NARU01000331.1,GiApicola_AW13.fna
NARU01000332.1,GiApicola_AW13.fna
NARU01000333.1,GiApicola_AW13.fna
NARU01000334.1,GiApicola_AW13.fna
NARU01000335.1,GiApicola_AW13.fna
NARU01000336.1,GiApicola_AW13.fna
NARU01000337.1,GiApicola_AW13.fna
NARU01000338.1,GiApicola_AW13.fna
NARU01000339.1,GiApicola_AW13.fna
NARU01000034.1,GiApicola_AW13.fna
NARU01000340.1,GiApicola_AW13.fna
NARU01000341.1,GiApicola_AW13.fna
NARU01000342.1,GiApicola_AW13.fna
NARU01000343.1,GiApicola_AW13.fna
NARU01000344.1,GiApicola_AW13.fna
NARU01000345.1,GiApicola_AW13.fna
NARU01000346.1,GiApicola_AW13.fna
NARU01000347.1,GiApicola_AW13.fna
NARU01000348.1,GiApicola_AW13.fna
NARU01000349.1,GiApicola_AW13.fna
NARU01000035.1,GiApicola_AW13.fna
NARU01000350.1,GiApicola_AW13.fna
NARU01000351.1,GiApicola_AW13.fna
NARU01000352.1,GiApicola_AW13.fna
NARU01000353.1,GiApicola_AW13.fna
NARU01000354.1,GiApicola_AW13.fna
NARU01000355.1,GiApicola_AW13.fna
NARU01000356.1,GiApicola_AW13.fna
NARU01000357.1,GiApicola_AW13.fna
NARU01000358.1,GiApicola_AW13.fna
NARU01000359.1,GiApicola_AW13.fna
NARU01000036.1,GiApicola_AW13.fna
NARU01000360.1,GiApicola_AW13.fna
NARU01000361.1,GiApicola_AW13.fna
NARU01000362.1,GiApicola_AW13.fna
NARU01000363.1,GiApicola_AW13.fna
NARU01000364.1,GiApicola_AW13.fna
NARU01000365.1,GiApicola_AW13.fna
NARU01000366.1,GiApicola_AW13.fna
NARU01000367.1,GiApicola_AW13.fna
NARU01000368.1,GiApicola_AW13.fna
NARU01000369.1,GiApicola_AW13.fna
NARU01000037.1,GiApicola_AW13.fna
NARU01000370.1,GiApicola_AW13.fna
NARU01000371.1,GiApicola_AW13.fna
NARU01000038.1,GiApicola_AW13.fna
NARU01000039.1,GiApicola_AW13.fna
NARU01000004.1,GiApicola_AW13.fna
NARU01000040.1,GiApicola_AW13.fna
NARU01000041.1,GiApicola_AW13.fna
NARU01000042.1,GiApicola_AW13.fna
NARU01000043.1,GiApicola_AW13.fna
NARU01000044.1,GiApicola_AW13.fna
NARU01000045.1,GiApicola_AW13.fna
NARU01000046.1,GiApicola_AW13.fna
NARU01000047.1,GiApicola_AW13.fna
NARU01000048.1,GiApicola_AW13.fna
NARU01000049.1,GiApicola_AW13.fna
NARU01000005.1,GiApicola_AW13.fna
NARU01000050.1,GiApicola_AW13.fna
NARU01000051.1,GiApicola_AW13.fna
NARU01000052.1,GiApicola_AW13.fna
NARU01000053.1,GiApicola_AW13.fna
NARU01000054.1,GiApicola_AW13.fna
NARU01000055.1,GiApicola_AW13.fna
NARU01000056.1,GiApicola_AW13.fna
NARU01000057.1,GiApicola_AW13.fna
NARU01000058.1,GiApicola_AW13.fna
NARU01000059.1,GiApicola_AW13.fna
NARU01000006.1,GiApicola_AW13.fna
NARU01000060.1,GiApicola_AW13.fna
NARU01000061.1,GiApicola_AW13.fna
NARU01000062.1,GiApicola_AW13.fna
NARU01000063.1,GiApicola_AW13.fna
NARU01000064.1,GiApicola_AW13.fna
NARU01000065.1,GiApicola_AW13.fna
NARU01000066.1,GiApicola_AW13.fna
NARU01000067.1,GiApicola_AW13.fna
NARU01000068.1,GiApicola_AW13.fna
NARU01000069.1,GiApicola_AW13.fna
NARU01000007.1,GiApicola_AW13.fna
NARU01000070.1,GiApicola_AW13.fna
NARU01000071.1,GiApicola_AW13.fna
NARU01000072.1,GiApicola_AW13.fna
NARU01000073.1,GiApicola_AW13.fna
NARU01000074.1,GiApicola_AW13.fna
NARU01000075.1,GiApicola_AW13.fna
NARU01000076.1,GiApicola_AW13.fna
NARU01000077.1,GiApicola_AW13.fna
NARU01000078.1,GiApicola_AW13.fna
NARU01000079.1,GiApicola_AW13.fna
NARU01000008.1,GiApicola_AW13.fna
NARU01000080.1,GiApicola_AW13.fna
NARU01000081.1,GiApicola_AW13.fna
NARU01000082.1,GiApicola_AW13.fna
NARU01000083.1,GiApicola_AW13.fna
NARU01000084.1,GiApicola_AW13.fna
NARU01000085.1,GiApicola_AW13.fna
NARU01000086.1,GiApicola_AW13.fna
NARU01000087.1,GiApicola_AW13.fna
NARU01000088.1,GiApicola_AW13.fna
NARU01000089.1,GiApicola_AW13.fna
NARU01000009.1,GiApicola_AW13.fna
NARU01000090.1,GiApicola_AW13.fna
NARU01000091.1,GiApicola_AW13.fna
NARU01000092.1,GiApicola_AW13.fna
NARU01000093.1,GiApicola_AW13.fna
NARU01000094.1,GiApicola_AW13.fna
NARU01000095.1,GiApicola_AW13.fna
NARU01000096.1,GiApicola_AW13.fna
NARU01000097.1,GiApicola_AW13.fna
NARU01000098.1,GiApicola_AW13.fna
NARU01000099.1,GiApicola_AW13.fna
LZGR01000001.1,GiApicola_App21.fna
LZGR01000002.1,GiApicola_App21.fna
LZGR01000003.1,GiApicola_App21.fna
LZGR01000004.1,GiApicola_App21.fna
LZGR01000005.1,GiApicola_App21.fna
LZGR01000006.1,GiApicola_App21.fna
LZGR01000007.1,GiApicola_App21.fna
LZGR01000008.1,GiApicola_App21.fna
LZGR01000009.1,GiApicola_App21.fna
LZGR01000010.1,GiApicola_App21.fna
LZGR01000011.1,GiApicola_App21.fna
LZGR01000012.1,GiApicola_App21.fna
LZGR01000013.1,GiApicola_App21.fna
LZGR01000014.1,GiApicola_App21.fna
LZGR01000015.1,GiApicola_App21.fna
LZGR01000016.1,GiApicola_App21.fna
LZGR01000017.1,GiApicola_App21.fna
LZGR01000018.1,GiApicola_App21.fna
LZGR01000019.1,GiApicola_App21.fna
LZGR01000020.1,GiApicola_App21.fna
LZGR01000021.1,GiApicola_App21.fna
LZGR01000022.1,GiApicola_App21.fna
LZGR01000023.1,GiApicola_App21.fna
LZGR01000024.1,GiApicola_App21.fna
LZGR01000025.1,GiApicola_App21.fna
LZGR01000026.1,GiApicola_App21.fna
LZGR01000027.1,GiApicola_App21.fna
LZGR01000028.1,GiApicola_App21.fna
LZGR01000029.1,GiApicola_App21.fna
LZGR01000030.1,GiApicola_App21.fna
LZGR01000031.1,GiApicola_App21.fna
LZGR01000032.1,GiApicola_App21.fna
LZGR01000033.1,GiApicola_App21.fna
LZGR01000034.1,GiApicola_App21.fna
LZGR01000035.1,GiApicola_App21.fna
LZGR01000036.1,GiApicola_App21.fna
LZGR01000037.1,GiApicola_App21.fna
LZGR01000038.1,GiApicola_App21.fna
LZGR01000039.1,GiApicola_App21.fna
LZGR01000040.1,GiApicola_App21.fna
LZGR01000041.1,GiApicola_App21.fna
LZGR01000042.1,GiApicola_App21.fna
LZGR01000043.1,GiApicola_App21.fna
LZGR01000044.1,GiApicola_App21.fna
LZGR01000045.1,GiApicola_App21.fna
LZGR01000046.1,GiApicola_App21.fna
LZGR01000047.1,GiApicola_App21.fna
LZGR01000048.1,GiApicola_App21.fna
LZGR01000049.1,GiApicola_App21.fna
LZGR01000050.1,GiApicola_App21.fna
LZGR01000051.1,GiApicola_App21.fna
LZGR01000052.1,GiApicola_App21.fna
LZGR01000053.1,GiApicola_App21.fna
LZGR01000054.1,GiApicola_App21.fna
LZGR01000055.1,GiApicola_App21.fna
LZGR01000056.1,GiApicola_App21.fna
LZGR01000057.1,GiApicola_App21.fna
LZGR01000058.1,GiApicola_App21.fna
LZGR01000059.1,GiApicola_App21.fna
LZGR01000060.1,GiApicola_App21.fna
LZGR01000061.1,GiApicola_App21.fna
LZGR01000062.1,GiApicola_App21.fna
LZGR01000063.1,GiApicola_App21.fna
LZGR01000064.1,GiApicola_App21.fna
LZGR01000065.1,GiApicola_App21.fna
LZGR01000066.1,GiApicola_App21.fna
LZGR01000067.1,GiApicola_App21.fna
LZGR01000068.1,GiApicola_App21.fna
LZGR01000069.1,GiApicola_App21.fna
LZGR01000070.1,GiApicola_App21.fna
LZGR01000071.1,GiApicola_App21.fna
LZGR01000072.1,GiApicola_App21.fna
LZGR01000073.1,GiApicola_App21.fna
LZGS01000001.1,GiApicola_App410.fna
LZGS01000002.1,GiApicola_App410.fna
LZGS01000003.1,GiApicola_App410.fna
LZGS01000004.1,GiApicola_App410.fna
LZGS01000005.1,GiApicola_App410.fna
LZGS01000006.1,GiApicola_App410.fna
LZGS01000007.1,GiApicola_App410.fna
LZGS01000008.1,GiApicola_App410.fna
LZGS01000009.1,GiApicola_App410.fna
LZGS01000010.1,GiApicola_App410.fna
LZGS01000011.1,GiApicola_App410.fna
LZGS01000012.1,GiApicola_App410.fna
LZGS01000013.1,GiApicola_App410.fna
LZGS01000014.1,GiApicola_App410.fna
LZGS01000015.1,GiApicola_App410.fna
LZGS01000016.1,GiApicola_App410.fna
LZGS01000017.1,GiApicola_App410.fna
LZGS01000018.1,GiApicola_App410.fna
LZGS01000019.1,GiApicola_App410.fna
LZGS01000020.1,GiApicola_App410.fna
LZGS01000021.1,GiApicola_App410.fna
LZGS01000022.1,GiApicola_App410.fna
LZGS01000023.1,GiApicola_App410.fna
LZGS01000024.1,GiApicola_App410.fna
LZGS01000025.1,GiApicola_App410.fna
LZGS01000026.1,GiApicola_App410.fna
LZGS01000027.1,GiApicola_App410.fna
LZGS01000028.1,GiApicola_App410.fna
LZGS01000029.1,GiApicola_App410.fna
LZGS01000030.1,GiApicola_App410.fna
LZGS01000031.1,GiApicola_App410.fna
LZGS01000032.1,GiApicola_App410.fna
LZGS01000033.1,GiApicola_App410.fna
LZGS01000034.1,GiApicola_App410.fna
LZGS01000035.1,GiApicola_App410.fna
LZGS01000036.1,GiApicola_App410.fna
LZGS01000037.1,GiApicola_App410.fna
LZGS01000038.1,GiApicola_App410.fna
LZGS01000039.1,GiApicola_App410.fna
LZGS01000040.1,GiApicola_App410.fna
LZGS01000041.1,GiApicola_App410.fna
LZGS01000042.1,GiApicola_App410.fna
LZGS01000043.1,GiApicola_App410.fna
LZGS01000044.1,GiApicola_App410.fna
LZGS01000045.1,GiApicola_App410.fna
LZGS01000046.1,GiApicola_App410.fna
LZGS01000047.1,GiApicola_App410.fna
LZGS01000048.1,GiApicola_App410.fna
LZGS01000049.1,GiApicola_App410.fna
LZGS01000050.1,GiApicola_App410.fna
LZGS01000051.1,GiApicola_App410.fna
LZGS01000052.1,GiApicola_App410.fna
LZGS01000053.1,GiApicola_App410.fna
LZGT01000001.1,GiApicola_App65.fna
LZGT01000002.1,GiApicola_App65.fna
LZGT01000003.1,GiApicola_App65.fna
LZGT01000004.1,GiApicola_App65.fna
LZGT01000005.1,GiApicola_App65.fna
LZGT01000006.1,GiApicola_App65.fna
LZGT01000007.1,GiApicola_App65.fna
LZGT01000008.1,GiApicola_App65.fna
LZGT01000009.1,GiApicola_App65.fna
LZGT01000010.1,GiApicola_App65.fna
LZGT01000011.1,GiApicola_App65.fna
LZGT01000012.1,GiApicola_App65.fna
LZGT01000013.1,GiApicola_App65.fna
LZGT01000014.1,GiApicola_App65.fna
LZGT01000015.1,GiApicola_App65.fna
LZGT01000016.1,GiApicola_App65.fna
LZGT01000017.1,GiApicola_App65.fna
LZGT01000018.1,GiApicola_App65.fna
LZGT01000019.1,GiApicola_App65.fna
LZGT01000020.1,GiApicola_App65.fna
LZGT01000021.1,GiApicola_App65.fna
LZGT01000022.1,GiApicola_App65.fna
LZGT01000023.1,GiApicola_App65.fna
LZGT01000024.1,GiApicola_App65.fna
LZGT01000025.1,GiApicola_App65.fna
LZGT01000026.1,GiApicola_App65.fna
LZGT01000027.1,GiApicola_App65.fna
LZGT01000028.1,GiApicola_App65.fna
LZGT01000029.1,GiApicola_App65.fna
LZGT01000030.1,GiApicola_App65.fna
LZGT01000031.1,GiApicola_App65.fna
LZGT01000032.1,GiApicola_App65.fna
LZGT01000033.1,GiApicola_App65.fna
LZGT01000034.1,GiApicola_App65.fna
LZGT01000035.1,GiApicola_App65.fna
LZGT01000036.1,GiApicola_App65.fna
LZGT01000037.1,GiApicola_App65.fna
LZGT01000038.1,GiApicola_App65.fna
LZGT01000039.1,GiApicola_App65.fna
LZGT01000040.1,GiApicola_App65.fna
LZGT01000041.1,GiApicola_App65.fna
LZGT01000042.1,GiApicola_App65.fna
LZGT01000043.1,GiApicola_App65.fna
LZGT01000044.1,GiApicola_App65.fna
LZGT01000045.1,GiApicola_App65.fna
LZGT01000046.1,GiApicola_App65.fna
LZGT01000047.1,GiApicola_App65.fna
LZGT01000048.1,GiApicola_App65.fna
LZGT01000049.1,GiApicola_App65.fna
LZGT01000050.1,GiApicola_App65.fna
LZGT01000051.1,GiApicola_App65.fna
LZGT01000052.1,GiApicola_App65.fna
LZGT01000053.1,GiApicola_App65.fna
LZGT01000054.1,GiApicola_App65.fna
LZGT01000055.1,GiApicola_App65.fna
LZGT01000056.1,GiApicola_App65.fna
LZGT01000057.1,GiApicola_App65.fna
LZGT01000058.1,GiApicola_App65.fna
LZGT01000059.1,GiApicola_App65.fna
LZGT01000060.1,GiApicola_App65.fna
LZGT01000061.1,GiApicola_App65.fna
LZGT01000062.1,GiApicola_App65.fna
LZGT01000063.1,GiApicola_App65.fna
LZGT01000064.1,GiApicola_App65.fna
LZGT01000065.1,GiApicola_App65.fna
LZGT01000066.1,GiApicola_App65.fna
LZGT01000067.1,GiApicola_App65.fna
LZGT01000068.1,GiApicola_App65.fna
LZGT01000069.1,GiApicola_App65.fna
LZGT01000070.1,GiApicola_App65.fna
LZGT01000071.1,GiApicola_App65.fna
LZGT01000072.1,GiApicola_App65.fna
LZGT01000073.1,GiApicola_App65.fna
LZGT01000074.1,GiApicola_App65.fna
LZGT01000075.1,GiApicola_App65.fna
LZGT01000076.1,GiApicola_App65.fna
