protein	phage_seq	prot_num
AARF01000085.1||full__00001	AARF01000085.1||full	1
AARF01000085.1||full__00002	AARF01000085.1||full	2
AARF01000085.1||full__00003	AARF01000085.1||full	3
AARF01000085.1||full__00004	AARF01000085.1||full	4
AARF01000085.1||full__00005	AARF01000085.1||full	5
AARF01000085.1||full__00006	AARF01000085.1||full	6
AARF01000085.1||full__00007	AARF01000085.1||full	7
AARF01000085.1||full__00008	AARF01000085.1||full	8
AARF01000085.1||full__00009	AARF01000085.1||full	9
AARF01000085.1||full__00010	AARF01000085.1||full	10
AARF01000119.1||full__00001	AARF01000119.1||full	1
AARF01000119.1||full__00002	AARF01000119.1||full	2
AARF01000119.1||full__00003	AARF01000119.1||full	3
AARF01000119.1||full__00004	AARF01000119.1||full	4
AARF01000119.1||full__00005	AARF01000119.1||full	5
AARF01000119.1||full__00006	AARF01000119.1||full	6
AARF01000119.1||full__00007	AARF01000119.1||full	7
AARF01000119.1||full__00008	AARF01000119.1||full	8
AARF01000119.1||full__00009	AARF01000119.1||full	9
AARF01000119.1||full__00010	AARF01000119.1||full	10
AARF01000119.1||full__00011	AARF01000119.1||full	11
AARF01000119.1||full__00012	AARF01000119.1||full	12
AARF01000119.1||full__00013	AARF01000119.1||full	13
AARF01000119.1||full__00014	AARF01000119.1||full	14
AARF01000119.1||full__00015	AARF01000119.1||full	15
AARF01000119.1||full__00016	AARF01000119.1||full	16
AARF01000119.1||full__00017	AARF01000119.1||full	17
AARF01000119.1||full__00018	AARF01000119.1||full	18
AARF01000119.1||full__00019	AARF01000119.1||full	19
AARF01000119.1||full__00020	AARF01000119.1||full	20
AARF01000119.1||full__00021	AARF01000119.1||full	21
AARF01000119.1||full__00022	AARF01000119.1||full	22
AARF01000119.1||full__00023	AARF01000119.1||full	23
AARF01000119.1||full__00024	AARF01000119.1||full	24
AARF01000119.1||full__00025	AARF01000119.1||full	25
AARF01000119.1||full__00026	AARF01000119.1||full	26
AARF01000119.1||full__00027	AARF01000119.1||full	27
AARF01000119.1||full__00028	AARF01000119.1||full	28
AARF01000119.1||full__00029	AARF01000119.1||full	29
AARF01000119.1||full__00030	AARF01000119.1||full	30
AARF01000119.1||full__00031	AARF01000119.1||full	31
AARF01000119.1||full__00032	AARF01000119.1||full	32
AARF01000119.1||full__00033	AARF01000119.1||full	33
AARF01000119.1||full__00034	AARF01000119.1||full	34
AARF01000123.1||full__00001	AARF01000123.1||full	1
AARF01000123.1||full__00002	AARF01000123.1||full	2
AARF01000123.1||full__00003	AARF01000123.1||full	3
AARF01000123.1||full__00004	AARF01000123.1||full	4
AARF01000123.1||full__00005	AARF01000123.1||full	5
AARF01000123.1||full__00006	AARF01000123.1||full	6
AARF01000123.1||full__00007	AARF01000123.1||full	7
AARF01000123.1||full__00008	AARF01000123.1||full	8
AARF01000123.1||full__00009	AARF01000123.1||full	9
AARF01000123.1||full__00010	AARF01000123.1||full	10
AARF01000123.1||full__00011	AARF01000123.1||full	11
AARF01000123.1||full__00012	AARF01000123.1||full	12
AARF01000123.1||full__00013	AARF01000123.1||full	13
AARF01000123.1||full__00014	AARF01000123.1||full	14
AARF01000123.1||full__00015	AARF01000123.1||full	15
AARF01000123.1||full__00016	AARF01000123.1||full	16
AARF01000123.1||full__00017	AARF01000123.1||full	17
AARF01000123.1||full__00018	AARF01000123.1||full	18
AARF01000123.1||full__00019	AARF01000123.1||full	19
AARF01000123.1||full__00020	AARF01000123.1||full	20
AARF01000123.1||full__00021	AARF01000123.1||full	21
AARF01000123.1||full__00022	AARF01000123.1||full	22
AARF01000123.1||full__00023	AARF01000123.1||full	23
AARF01000123.1||full__00024	AARF01000123.1||full	24
AARF01000247.1||full__00001	AARF01000247.1||full	1
AARF01000247.1||full__00002	AARF01000247.1||full	2
AARF01000247.1||full__00003	AARF01000247.1||full	3
AARF01000247.1||full__00004	AARF01000247.1||full	4
AARF01000247.1||full__00005	AARF01000247.1||full	5
AARF01000247.1||full__00006	AARF01000247.1||full	6
AARF01000247.1||full__00007	AARF01000247.1||full	7
AARF01000247.1||full__00008	AARF01000247.1||full	8
AARF01000247.1||full__00009	AARF01000247.1||full	9
AARF01000247.1||full__00010	AARF01000247.1||full	10
AARF01000247.1||full__00011	AARF01000247.1||full	11
ADFW01000001.1||0_partial_1__00001	ADFW01000001.1||0_partial_1	1
ADFW01000001.1||0_partial_1__00002	ADFW01000001.1||0_partial_1	2
ADFW01000001.1||0_partial_1__00003	ADFW01000001.1||0_partial_1	3
ADFW01000001.1||0_partial_1__00004	ADFW01000001.1||0_partial_1	4
ADFW01000001.1||0_partial_1__00005	ADFW01000001.1||0_partial_1	5
ADFW01000001.1||0_partial_1__00006	ADFW01000001.1||0_partial_1	6
ADFW01000001.1||0_partial_1__00007	ADFW01000001.1||0_partial_1	7
ADFW01000001.1||0_partial_1__00008	ADFW01000001.1||0_partial_1	8
ADFW01000001.1||0_partial_1__00009	ADFW01000001.1||0_partial_1	9
ADFW01000001.1||0_partial_1__00010	ADFW01000001.1||0_partial_1	10
ADFW01000001.1||0_partial_1__00011	ADFW01000001.1||0_partial_1	11
ADFW01000001.1||0_partial_1__00012	ADFW01000001.1||0_partial_1	12
ADFW01000001.1||0_partial_1__00013	ADFW01000001.1||0_partial_1	13
ADFW01000001.1||0_partial_1__00014	ADFW01000001.1||0_partial_1	14
ADFW01000001.1||0_partial_1__00015	ADFW01000001.1||0_partial_1	15
ADFW01000001.1||0_partial_1__00016	ADFW01000001.1||0_partial_1	16
ADFW01000001.1||0_partial_1__00017	ADFW01000001.1||0_partial_1	17
ADFW01000001.1||0_partial_1__00018	ADFW01000001.1||0_partial_1	18
ADFW01000001.1||0_partial_1__00019	ADFW01000001.1||0_partial_1	19
ADFW01000001.1||0_partial_1__00020	ADFW01000001.1||0_partial_1	20
ADFW01000001.1||0_partial_1__00021	ADFW01000001.1||0_partial_1	21
ADFW01000001.1||0_partial_1__00022	ADFW01000001.1||0_partial_1	22
ADFW01000001.1||0_partial_1__00023	ADFW01000001.1||0_partial_1	23
ADFW01000001.1||0_partial_1__00024	ADFW01000001.1||0_partial_1	24
ADFW01000001.1||0_partial_1__00025	ADFW01000001.1||0_partial_1	25
ADFW01000001.1||0_partial_1__00026	ADFW01000001.1||0_partial_1	26
ADFW01000001.1||0_partial_1__00027	ADFW01000001.1||0_partial_1	27
ADFW01000001.1||0_partial_1__00028	ADFW01000001.1||0_partial_1	28
ADFW01000001.1||0_partial_1__00029	ADFW01000001.1||0_partial_1	29
ADFW01000001.1||0_partial_1__00030	ADFW01000001.1||0_partial_1	30
ADFW01000001.1||0_partial_1__00031	ADFW01000001.1||0_partial_1	31
ADFW01000001.1||0_partial_1__00032	ADFW01000001.1||0_partial_1	32
ADFW01000001.1||0_partial_1__00033	ADFW01000001.1||0_partial_1	33
ADFW01000001.1||0_partial_1__00034	ADFW01000001.1||0_partial_1	34
ADFW01000001.1||0_partial_1__00035	ADFW01000001.1||0_partial_1	35
ADFW01000001.1||0_partial_1__00036	ADFW01000001.1||0_partial_1	36
ADFW01000001.1||0_partial_1__00037	ADFW01000001.1||0_partial_1	37
ADFW01000001.1||0_partial_1__00038	ADFW01000001.1||0_partial_1	38
ADFW01000001.1||0_partial_1__00039	ADFW01000001.1||0_partial_1	39
ADFW01000001.1||0_partial_1__00040	ADFW01000001.1||0_partial_1	40
ADFW01000001.1||0_partial_1__00041	ADFW01000001.1||0_partial_1	41
ADFW01000001.1||0_partial_1__00042	ADFW01000001.1||0_partial_1	42
ADFW01000001.1||0_partial_1__00043	ADFW01000001.1||0_partial_1	43
ADFW01000001.1||0_partial_1__00044	ADFW01000001.1||0_partial_1	44
ADFW01000001.1||0_partial_1__00045	ADFW01000001.1||0_partial_1	45
ADFW01000001.1||0_partial_1__00046	ADFW01000001.1||0_partial_1	46
ADFW01000001.1||0_partial_1__00047	ADFW01000001.1||0_partial_1	47
ADFW01000001.1||0_partial_1__00048	ADFW01000001.1||0_partial_1	48
ADFW01000001.1||0_partial_1__00049	ADFW01000001.1||0_partial_1	49
ADFW01000001.1||0_partial_1__00050	ADFW01000001.1||0_partial_1	50
ADFW01000001.1||0_partial_1__00051	ADFW01000001.1||0_partial_1	51
ADFW01000001.1||0_partial_1__00052	ADFW01000001.1||0_partial_1	52
ADFW01000001.1||0_partial_1__00053	ADFW01000001.1||0_partial_1	53
ADFW01000001.1||0_partial_1__00054	ADFW01000001.1||0_partial_1	54
ADFW01000001.1||0_partial_1__00055	ADFW01000001.1||0_partial_1	55
ADFW01000001.1||0_partial_1__00056	ADFW01000001.1||0_partial_1	56
ADFW01000001.1||0_partial_1__00057	ADFW01000001.1||0_partial_1	57
ADFW01000001.1||0_partial_1__00058	ADFW01000001.1||0_partial_1	58
ADFW01000001.1||0_partial_1__00059	ADFW01000001.1||0_partial_1	59
ADFW01000001.1||0_partial_1__00060	ADFW01000001.1||0_partial_1	60
ADFW01000001.1||0_partial_1__00061	ADFW01000001.1||0_partial_1	61
ADFW01000001.1||0_partial_1__00062	ADFW01000001.1||0_partial_1	62
ADFW01000001.1||0_partial_1__00063	ADFW01000001.1||0_partial_1	63
ADFW01000001.1||0_partial_1__00064	ADFW01000001.1||0_partial_1	64
ADFW01000001.1||0_partial_1__00065	ADFW01000001.1||0_partial_1	65
ADFW01000001.1||0_partial_1__00066	ADFW01000001.1||0_partial_1	66
ADFW01000001.1||0_partial_1__00067	ADFW01000001.1||0_partial_1	67
ADFW01000001.1||0_partial_1__00068	ADFW01000001.1||0_partial_1	68
ADFW01000001.1||0_partial_1__00069	ADFW01000001.1||0_partial_1	69
ADFW01000001.1||0_partial_1__00070	ADFW01000001.1||0_partial_1	70
ADFW01000001.1||0_partial_1__00071	ADFW01000001.1||0_partial_1	71
ADFW01000001.1||0_partial_1__00072	ADFW01000001.1||0_partial_1	72
ADFW01000001.1||0_partial_1__00073	ADFW01000001.1||0_partial_1	73
ADFW01000001.1||0_partial_1__00074	ADFW01000001.1||0_partial_1	74
ADFW01000001.1||0_partial_1__00075	ADFW01000001.1||0_partial_1	75
ADFW01000001.1||0_partial_1__00076	ADFW01000001.1||0_partial_1	76
ADFW01000001.1||0_partial_1__00077	ADFW01000001.1||0_partial_1	77
ADFW01000001.1||0_partial_1__00078	ADFW01000001.1||0_partial_1	78
ADFW01000001.1||0_partial_1__00079	ADFW01000001.1||0_partial_1	79
ADFW01000001.1||0_partial_1__00080	ADFW01000001.1||0_partial_1	80
ADFW01000001.1||0_partial_1__00081	ADFW01000001.1||0_partial_1	81
ADFW01000001.1||0_partial_1__00082	ADFW01000001.1||0_partial_1	82
ADFW01000001.1||0_partial_1__00083	ADFW01000001.1||0_partial_1	83
ADFW01000001.1||0_partial_1__00084	ADFW01000001.1||0_partial_1	84
ADFW01000001.1||0_partial_1__00085	ADFW01000001.1||0_partial_1	85
ADFW01000001.1||0_partial_1__00086	ADFW01000001.1||0_partial_1	86
ADFW01000001.1||0_partial_1__00087	ADFW01000001.1||0_partial_1	87
ADFW01000001.1||0_partial_1__00088	ADFW01000001.1||0_partial_1	88
ADFW01000001.1||0_partial_1__00089	ADFW01000001.1||0_partial_1	89
ADFW01000001.1||0_partial_1__00090	ADFW01000001.1||0_partial_1	90
ADFW01000001.1||0_partial_1__00091	ADFW01000001.1||0_partial_1	91
ADFW01000001.1||0_partial_1__00092	ADFW01000001.1||0_partial_1	92
ADFW01000001.1||0_partial_1__00093	ADFW01000001.1||0_partial_1	93
ADFW01000001.1||0_partial_1__00094	ADFW01000001.1||0_partial_1	94
ADFW01000001.1||0_partial_1__00095	ADFW01000001.1||0_partial_1	95
ADFW01000001.1||0_partial_1__00096	ADFW01000001.1||0_partial_1	96
ADFW01000001.1||0_partial_1__00097	ADFW01000001.1||0_partial_1	97
ADFW01000001.1||0_partial_1__00098	ADFW01000001.1||0_partial_1	98
ADFW01000001.1||0_partial_1__00099	ADFW01000001.1||0_partial_1	99
ADFW01000001.1||0_partial_1__00100	ADFW01000001.1||0_partial_1	100
ADFW01000001.1||0_partial_1__00101	ADFW01000001.1||0_partial_1	101
ADFW01000001.1||0_partial_1__00102	ADFW01000001.1||0_partial_1	102
ADFW01000001.1||0_partial_1__00103	ADFW01000001.1||0_partial_1	103
ADFW01000001.1||0_partial_1__00104	ADFW01000001.1||0_partial_1	104
ADFW01000001.1||0_partial_1__00105	ADFW01000001.1||0_partial_1	105
ADFW01000001.1||0_partial_1__00106	ADFW01000001.1||0_partial_1	106
ADFW01000001.1||0_partial_1__00107	ADFW01000001.1||0_partial_1	107
ADFW01000001.1||0_partial_1__00108	ADFW01000001.1||0_partial_1	108
ADFW01000001.1||0_partial_1__00109	ADFW01000001.1||0_partial_1	109
ADFW01000001.1||0_partial_1__00110	ADFW01000001.1||0_partial_1	110
ADFW01000001.1||0_partial_1__00111	ADFW01000001.1||0_partial_1	111
ADFW01000001.1||0_partial_1__00112	ADFW01000001.1||0_partial_1	112
ADFW01000001.1||0_partial_1__00113	ADFW01000001.1||0_partial_1	113
ADFW01000001.1||0_partial_1__00114	ADFW01000001.1||0_partial_1	114
ADFW01000001.1||0_partial_1__00115	ADFW01000001.1||0_partial_1	115
ADFW01000001.1||0_partial_1__00116	ADFW01000001.1||0_partial_1	116
ADFW01000001.1||0_partial_1__00117	ADFW01000001.1||0_partial_1	117
ADFW01000001.1||0_partial_1__00118	ADFW01000001.1||0_partial_1	118
ADFW01000001.1||0_partial_1__00119	ADFW01000001.1||0_partial_1	119
ADFW01000001.1||0_partial_1__00120	ADFW01000001.1||0_partial_1	120
ADFW01000001.1||0_partial_1__00121	ADFW01000001.1||0_partial_1	121
ADFW01000001.1||0_partial_1__00122	ADFW01000001.1||0_partial_1	122
ADFW01000001.1||0_partial_1__00123	ADFW01000001.1||0_partial_1	123
ADFW01000001.1||0_partial_1__00124	ADFW01000001.1||0_partial_1	124
ADFW01000001.1||0_partial_1__00125	ADFW01000001.1||0_partial_1	125
ADFW01000001.1||0_partial_1__00126	ADFW01000001.1||0_partial_1	126
ADFW01000001.1||0_partial_1__00127	ADFW01000001.1||0_partial_1	127
ADFW01000001.1||0_partial_1__00128	ADFW01000001.1||0_partial_1	128
ADFW01000001.1||0_partial_1__00129	ADFW01000001.1||0_partial_1	129
ADFW01000001.1||0_partial_1__00130	ADFW01000001.1||0_partial_1	130
ADFW01000001.1||0_partial_1__00131	ADFW01000001.1||0_partial_1	131
ADFW01000001.1||0_partial_1__00132	ADFW01000001.1||0_partial_1	132
ADFW01000001.1||0_partial_1__00133	ADFW01000001.1||0_partial_1	133
ADFW01000001.1||0_partial_1__00134	ADFW01000001.1||0_partial_1	134
ADFW01000001.1||0_partial_1__00135	ADFW01000001.1||0_partial_1	135
ADFW01000001.1||0_partial_1__00136	ADFW01000001.1||0_partial_1	136
ADFW01000001.1||0_partial_1__00137	ADFW01000001.1||0_partial_1	137
ADFW01000001.1||0_partial_1__00138	ADFW01000001.1||0_partial_1	138
ADFW01000001.1||0_partial_1__00139	ADFW01000001.1||0_partial_1	139
ADFW01000001.1||0_partial_1__00140	ADFW01000001.1||0_partial_1	140
ADFW01000001.1||0_partial_1__00141	ADFW01000001.1||0_partial_1	141
ADFW01000001.1||0_partial_1__00142	ADFW01000001.1||0_partial_1	142
ADFW01000001.1||0_partial_1__00143	ADFW01000001.1||0_partial_1	143
ADFW01000001.1||0_partial_1__00144	ADFW01000001.1||0_partial_1	144
ADFW01000001.1||0_partial_1__00145	ADFW01000001.1||0_partial_1	145
ADFW01000001.1||0_partial_1__00146	ADFW01000001.1||0_partial_1	146
ADFW01000001.1||0_partial_1__00147	ADFW01000001.1||0_partial_1	147
ADFW01000001.1||0_partial_1__00148	ADFW01000001.1||0_partial_1	148
ADFW01000001.1||0_partial_1__00149	ADFW01000001.1||0_partial_1	149
ADFW01000001.1||0_partial_1__00150	ADFW01000001.1||0_partial_1	150
ADFW01000001.1||0_partial_1__00151	ADFW01000001.1||0_partial_1	151
ADFW01000001.1||0_partial_1__00152	ADFW01000001.1||0_partial_1	152
ADFW01000001.1||0_partial_1__00153	ADFW01000001.1||0_partial_1	153
ADFW01000001.1||0_partial_1__00154	ADFW01000001.1||0_partial_1	154
ADFW01000001.1||0_partial_1__00155	ADFW01000001.1||0_partial_1	155
ADFW01000001.1||0_partial_1__00156	ADFW01000001.1||0_partial_1	156
ADFW01000001.1||0_partial_1__00157	ADFW01000001.1||0_partial_1	157
ADFW01000001.1||0_partial_1__00158	ADFW01000001.1||0_partial_1	158
ADFW01000001.1||0_partial_1__00159	ADFW01000001.1||0_partial_1	159
ADFW01000001.1||0_partial_1__00160	ADFW01000001.1||0_partial_1	160
ADFW01000001.1||0_partial_1__00161	ADFW01000001.1||0_partial_1	161
ADFW01000001.1||0_partial_1__00162	ADFW01000001.1||0_partial_1	162
ADFW01000001.1||0_partial_1__00163	ADFW01000001.1||0_partial_1	163
ADFW01000001.1||0_partial_1__00164	ADFW01000001.1||0_partial_1	164
ADFW01000001.1||0_partial_1__00165	ADFW01000001.1||0_partial_1	165
ADFW01000001.1||0_partial_1__00166	ADFW01000001.1||0_partial_1	166
ADFW01000001.1||0_partial_1__00167	ADFW01000001.1||0_partial_1	167
ADFW01000001.1||0_partial_1__00168	ADFW01000001.1||0_partial_1	168
ADFW01000001.1||0_partial_1__00169	ADFW01000001.1||0_partial_1	169
ADFW01000001.1||0_partial_1__00170	ADFW01000001.1||0_partial_1	170
ADFW01000001.1||0_partial_1__00171	ADFW01000001.1||0_partial_1	171
ADFW01000001.1||0_partial_1__00172	ADFW01000001.1||0_partial_1	172
ADFW01000001.1||0_partial_1__00173	ADFW01000001.1||0_partial_1	173
ADFW01000001.1||0_partial_1__00174	ADFW01000001.1||0_partial_1	174
ADFW01000001.1||0_partial_1__00175	ADFW01000001.1||0_partial_1	175
ADFW01000001.1||0_partial_1__00176	ADFW01000001.1||0_partial_1	176
ADFW01000001.1||0_partial_1__00177	ADFW01000001.1||0_partial_1	177
ADFW01000001.1||0_partial_1__00178	ADFW01000001.1||0_partial_1	178
ADFW01000001.1||0_partial_1__00179	ADFW01000001.1||0_partial_1	179
ADFW01000001.1||0_partial_1__00180	ADFW01000001.1||0_partial_1	180
ADFW01000001.1||0_partial_1__00181	ADFW01000001.1||0_partial_1	181
ADFW01000001.1||0_partial_1__00182	ADFW01000001.1||0_partial_1	182
ADFW01000001.1||0_partial_1__00183	ADFW01000001.1||0_partial_1	183
ADFW01000001.1||0_partial_1__00184	ADFW01000001.1||0_partial_1	184
ADFW01000001.1||0_partial_1__00185	ADFW01000001.1||0_partial_1	185
ADFW01000001.1||0_partial_1__00186	ADFW01000001.1||0_partial_1	186
ADFW01000001.1||0_partial_1__00187	ADFW01000001.1||0_partial_1	187
ADFW01000001.1||0_partial_1__00188	ADFW01000001.1||0_partial_1	188
ADFW01000001.1||0_partial_1__00189	ADFW01000001.1||0_partial_1	189
ADFW01000001.1||0_partial_1__00190	ADFW01000001.1||0_partial_1	190
ADFW01000001.1||0_partial_1__00191	ADFW01000001.1||0_partial_1	191
ADFW01000001.1||0_partial_1__00192	ADFW01000001.1||0_partial_1	192
ADFW01000001.1||0_partial_1__00193	ADFW01000001.1||0_partial_1	193
ADFW01000001.1||0_partial_1__00194	ADFW01000001.1||0_partial_1	194
ADFW01000001.1||0_partial_1__00195	ADFW01000001.1||0_partial_1	195
ADFW01000001.1||0_partial_1__00196	ADFW01000001.1||0_partial_1	196
ADFW01000001.1||0_partial_1__00197	ADFW01000001.1||0_partial_1	197
ADFW01000001.1||0_partial_1__00198	ADFW01000001.1||0_partial_1	198
ADFW01000001.1||0_partial_1__00199	ADFW01000001.1||0_partial_1	199
ADFW01000001.1||0_partial_1__00200	ADFW01000001.1||0_partial_1	200
ADFW01000001.1||0_partial_1__00201	ADFW01000001.1||0_partial_1	201
ADFW01000001.1||0_partial_1__00202	ADFW01000001.1||0_partial_1	202
ADFW01000001.1||0_partial_1__00203	ADFW01000001.1||0_partial_1	203
ADFW01000001.1||0_partial_1__00204	ADFW01000001.1||0_partial_1	204
ADFW01000001.1||0_partial_1__00205	ADFW01000001.1||0_partial_1	205
ADFW01000001.1||0_partial_1__00206	ADFW01000001.1||0_partial_1	206
ADFW01000001.1||0_partial_1__00207	ADFW01000001.1||0_partial_1	207
ADFW01000001.1||0_partial_1__00208	ADFW01000001.1||0_partial_1	208
ADFW01000001.1||0_partial_1__00209	ADFW01000001.1||0_partial_1	209
ADFW01000001.1||0_partial_1__00210	ADFW01000001.1||0_partial_1	210
ADFW01000001.1||0_partial_1__00211	ADFW01000001.1||0_partial_1	211
ADFW01000001.1||0_partial_1__00212	ADFW01000001.1||0_partial_1	212
ADFW01000001.1||0_partial_1__00213	ADFW01000001.1||0_partial_1	213
ADFW01000001.1||0_partial_1__00214	ADFW01000001.1||0_partial_1	214
ADFW01000001.1||0_partial_1__00215	ADFW01000001.1||0_partial_1	215
ADFW01000001.1||0_partial_1__00216	ADFW01000001.1||0_partial_1	216
ADFW01000001.1||0_partial_1__00217	ADFW01000001.1||0_partial_1	217
ADFW01000001.1||0_partial_1__00218	ADFW01000001.1||0_partial_1	218
ADFW01000001.1||0_partial_1__00219	ADFW01000001.1||0_partial_1	219
ADFW01000001.1||0_partial_1__00220	ADFW01000001.1||0_partial_1	220
ADFW01000001.1||0_partial_1__00221	ADFW01000001.1||0_partial_1	221
ADFW01000001.1||0_partial_1__00222	ADFW01000001.1||0_partial_1	222
ADFW01000001.1||0_partial_1__00223	ADFW01000001.1||0_partial_1	223
ADFW01000001.1||0_partial_1__00224	ADFW01000001.1||0_partial_1	224
ADFW01000001.1||0_partial_1__00225	ADFW01000001.1||0_partial_1	225
ADFW01000001.1||0_partial_1__00226	ADFW01000001.1||0_partial_1	226
ADFW01000001.1||0_partial_1__00227	ADFW01000001.1||0_partial_1	227
ADFW01000001.1||0_partial_1__00228	ADFW01000001.1||0_partial_1	228
ADFW01000001.1||0_partial_1__00229	ADFW01000001.1||0_partial_1	229
ADFW01000001.1||0_partial_1__00230	ADFW01000001.1||0_partial_1	230
ADFW01000001.1||0_partial_1__00231	ADFW01000001.1||0_partial_1	231
ADFW01000001.1||0_partial_1__00232	ADFW01000001.1||0_partial_1	232
ADFW01000001.1||0_partial_1__00233	ADFW01000001.1||0_partial_1	233
ADFW01000001.1||0_partial_1__00234	ADFW01000001.1||0_partial_1	234
ADFW01000001.1||0_partial_1__00235	ADFW01000001.1||0_partial_1	235
ADFW01000001.1||0_partial_1__00236	ADFW01000001.1||0_partial_1	236
ADFW01000001.1||0_partial_1__00237	ADFW01000001.1||0_partial_1	237
ADFW01000001.1||0_partial_1__00238	ADFW01000001.1||0_partial_1	238
ADFW01000001.1||0_partial_1__00239	ADFW01000001.1||0_partial_1	239
ADFW01000001.1||0_partial_1__00240	ADFW01000001.1||0_partial_1	240
ADFW01000001.1||0_partial_1__00241	ADFW01000001.1||0_partial_1	241
ADFW01000001.1||0_partial_1__00242	ADFW01000001.1||0_partial_1	242
ADFW01000001.1||0_partial_1__00243	ADFW01000001.1||0_partial_1	243
ADFW01000001.1||0_partial_1__00244	ADFW01000001.1||0_partial_1	244
ADFW01000001.1||0_partial_1__00245	ADFW01000001.1||0_partial_1	245
ADFW01000001.1||0_partial_1__00246	ADFW01000001.1||0_partial_1	246
ADFW01000001.1||0_partial_1__00247	ADFW01000001.1||0_partial_1	247
ADFW01000001.1||0_partial_1__00248	ADFW01000001.1||0_partial_1	248
ADFW01000001.1||0_partial_1__00249	ADFW01000001.1||0_partial_1	249
ADFW01000001.1||0_partial_1__00250	ADFW01000001.1||0_partial_1	250
ADFW01000001.1||0_partial_1__00251	ADFW01000001.1||0_partial_1	251
ADFW01000001.1||0_partial_1__00252	ADFW01000001.1||0_partial_1	252
ADFW01000001.1||0_partial_1__00253	ADFW01000001.1||0_partial_1	253
ADFW01000001.1||0_partial_1__00254	ADFW01000001.1||0_partial_1	254
ADFW01000001.1||0_partial_1__00255	ADFW01000001.1||0_partial_1	255
ADFW01000001.1||0_partial_1__00256	ADFW01000001.1||0_partial_1	256
ADFW01000001.1||0_partial_1__00257	ADFW01000001.1||0_partial_1	257
ADFW01000001.1||0_partial_1__00258	ADFW01000001.1||0_partial_1	258
ADFW01000001.1||0_partial_1__00259	ADFW01000001.1||0_partial_1	259
ADFW01000001.1||0_partial_1__00260	ADFW01000001.1||0_partial_1	260
ADFW01000001.1||0_partial_1__00261	ADFW01000001.1||0_partial_1	261
ADFW01000001.1||0_partial_1__00262	ADFW01000001.1||0_partial_1	262
ADFW01000001.1||0_partial_1__00263	ADFW01000001.1||0_partial_1	263
ADFW01000001.1||0_partial_1__00264	ADFW01000001.1||0_partial_1	264
ADFW01000001.1||0_partial_1__00265	ADFW01000001.1||0_partial_1	265
ADFW01000001.1||0_partial_1__00266	ADFW01000001.1||0_partial_1	266
ADFW01000001.1||0_partial_1__00267	ADFW01000001.1||0_partial_1	267
ADFW01000001.1||0_partial_1__00268	ADFW01000001.1||0_partial_1	268
ADFW01000001.1||0_partial_1__00269	ADFW01000001.1||0_partial_1	269
ADFW01000001.1||0_partial_1__00270	ADFW01000001.1||0_partial_1	270
ADFW01000001.1||0_partial_1__00271	ADFW01000001.1||0_partial_1	271
ADFW01000001.1||0_partial_1__00272	ADFW01000001.1||0_partial_1	272
ADFW01000001.1||0_partial_1__00273	ADFW01000001.1||0_partial_1	273
ADFW01000001.1||0_partial_1__00274	ADFW01000001.1||0_partial_1	274
ADFW01000001.1||0_partial_1__00275	ADFW01000001.1||0_partial_1	275
ADFW01000001.1||0_partial_1__00276	ADFW01000001.1||0_partial_1	276
ADFW01000001.1||0_partial_1__00277	ADFW01000001.1||0_partial_1	277
ADFW01000001.1||0_partial_1__00278	ADFW01000001.1||0_partial_1	278
ADFW01000001.1||0_partial_1__00279	ADFW01000001.1||0_partial_1	279
ADFW01000001.1||0_partial_1__00280	ADFW01000001.1||0_partial_1	280
ADFW01000001.1||0_partial_1__00281	ADFW01000001.1||0_partial_1	281
ADFW01000001.1||0_partial_1__00282	ADFW01000001.1||0_partial_1	282
ADFW01000001.1||0_partial_1__00283	ADFW01000001.1||0_partial_1	283
ADFW01000001.1||0_partial_1__00284	ADFW01000001.1||0_partial_1	284
ADFW01000001.1||0_partial_1__00285	ADFW01000001.1||0_partial_1	285
ADFW01000001.1||1_partial_1__00001	ADFW01000001.1||1_partial_1	1
ADFW01000001.1||1_partial_1__00002	ADFW01000001.1||1_partial_1	2
ADFW01000001.1||1_partial_1__00003	ADFW01000001.1||1_partial_1	3
ADFW01000001.1||1_partial_1__00004	ADFW01000001.1||1_partial_1	4
ADFW01000001.1||1_partial_1__00005	ADFW01000001.1||1_partial_1	5
ADFW01000001.1||1_partial_1__00006	ADFW01000001.1||1_partial_1	6
ADFW01000001.1||1_partial_1__00007	ADFW01000001.1||1_partial_1	7
ADFW01000001.1||1_partial_1__00008	ADFW01000001.1||1_partial_1	8
ADFW01000001.1||1_partial_1__00009	ADFW01000001.1||1_partial_1	9
ADFW01000001.1||1_partial_1__00010	ADFW01000001.1||1_partial_1	10
ADFW01000001.1||1_partial_1__00011	ADFW01000001.1||1_partial_1	11
ADFW01000001.1||1_partial_1__00012	ADFW01000001.1||1_partial_1	12
ADFW01000001.1||1_partial_1__00013	ADFW01000001.1||1_partial_1	13
ADFW01000001.1||1_partial_1__00014	ADFW01000001.1||1_partial_1	14
ADFW01000001.1||1_partial_1__00015	ADFW01000001.1||1_partial_1	15
ADFW01000001.1||1_partial_1__00016	ADFW01000001.1||1_partial_1	16
ADFW01000001.1||1_partial_1__00017	ADFW01000001.1||1_partial_1	17
ADFW01000001.1||1_partial_1__00018	ADFW01000001.1||1_partial_1	18
